time	V(out)	V(vc)
5.496474485977435e-06	4.711197e+00	3.212079e-01
5.506474485977375e-06	4.711155e+00	3.280781e-01
5.516474485977316e-06	4.711112e+00	3.349429e-01
5.526474485977257e-06	4.711069e+00	3.418022e-01
5.536474485977197e-06	4.711025e+00	3.486561e-01
5.546474485977138e-06	4.710980e+00	3.555045e-01
5.556474485977079e-06	4.710936e+00	3.623474e-01
5.566474485977019e-06	4.710890e+00	3.691849e-01
5.576474485976960e-06	4.710843e+00	3.760169e-01
5.586474485976900e-06	4.710796e+00	3.828435e-01
5.596474485976841e-06	4.710749e+00	3.896646e-01
5.606474485976782e-06	4.710701e+00	3.964804e-01
5.616474485976722e-06	4.710651e+00	4.032906e-01
5.626474485976663e-06	4.710602e+00	4.100955e-01
5.636474485976603e-06	4.710552e+00	4.168949e-01
5.646474485976544e-06	4.710501e+00	4.236889e-01
5.656474485976485e-06	4.710450e+00	4.304774e-01
5.666474485976425e-06	4.710398e+00	4.372606e-01
5.676474485976366e-06	4.710345e+00	4.440383e-01
5.686474485976306e-06	4.710292e+00	4.508107e-01
5.696474485976247e-06	4.710238e+00	4.575776e-01
5.706474485976188e-06	4.710183e+00	4.643392e-01
5.716474485976128e-06	4.710128e+00	4.710953e-01
5.726474485976069e-06	4.710073e+00	4.778461e-01
5.736474485976010e-06	4.710016e+00	4.845915e-01
5.746474485975950e-06	4.709959e+00	4.913315e-01
5.756474485975891e-06	4.709901e+00	4.980661e-01
5.766474485975831e-06	4.709843e+00	5.047953e-01
5.776474485975772e-06	4.709784e+00	5.115192e-01
5.786474485975713e-06	4.709724e+00	5.182377e-01
5.796474485975653e-06	4.709664e+00	5.249509e-01
5.806474485975594e-06	4.709603e+00	5.316587e-01
5.816474485975534e-06	4.709542e+00	5.383611e-01
5.826474485975475e-06	4.709479e+00	5.450583e-01
5.836474485975416e-06	4.709417e+00	5.517500e-01
5.846474485975356e-06	4.709353e+00	5.584364e-01
5.856474485975297e-06	4.709290e+00	5.651175e-01
5.866474485975237e-06	4.709225e+00	5.717933e-01
5.876474485975178e-06	4.709160e+00	5.784637e-01
5.886474485975119e-06	4.709094e+00	5.851288e-01
5.896474485975059e-06	4.709027e+00	5.917885e-01
5.906474485975000e-06	4.708961e+00	5.984430e-01
5.916474485974941e-06	4.708893e+00	6.050922e-01
5.926474485974881e-06	4.708824e+00	6.117361e-01
5.936474485974822e-06	4.708755e+00	6.183746e-01
5.946474485974762e-06	4.708686e+00	6.250079e-01
5.956474485974703e-06	4.708615e+00	6.316358e-01
5.966474485974644e-06	4.708545e+00	6.382585e-01
5.976474485974584e-06	4.708473e+00	6.448759e-01
5.986474485974525e-06	4.708401e+00	6.514879e-01
5.996474485974465e-06	4.708328e+00	6.580948e-01
6.006474485974406e-06	4.708255e+00	6.646963e-01
6.016474485974347e-06	4.708181e+00	6.712926e-01
6.026474485974287e-06	4.708107e+00	6.778836e-01
6.036474485974228e-06	4.708031e+00	6.844693e-01
6.046474485974168e-06	4.707955e+00	6.910498e-01
6.056474485974109e-06	4.707879e+00	6.976250e-01
6.066474485974050e-06	4.707802e+00	7.041950e-01
6.076474485973990e-06	4.707724e+00	7.107598e-01
6.086474485973931e-06	4.707646e+00	7.173192e-01
6.096474485973872e-06	4.707567e+00	7.238734e-01
6.106474485973812e-06	4.707488e+00	7.304225e-01
6.116474485973753e-06	4.707407e+00	7.369663e-01
6.126474485973693e-06	4.707326e+00	7.435048e-01
6.136474485973634e-06	4.707245e+00	7.500381e-01
6.146474485973575e-06	4.707163e+00	7.565663e-01
6.156474485973515e-06	4.707080e+00	7.630892e-01
